tweet_id,timestamp,name,dog_stage,ratings,img_num,favourite,retweet,jpg_url,source,url,first_prediction,first_confidence,first_dog,second_prediction,second_confidence,second_dog,third_prediction,third_confidence,third_dog,text
892177421306343426,2017-08-01 00:17:27+00:00,Tilly,,13.0,1,33819,6514,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Twitter for iPhone,https://t.co/0Xxu71qeIV,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 "
891815181378084864,2017-07-31 00:18:03+00:00,Archie,,12.0,1,25461,4328,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Twitter for iPhone,https://t.co/wUnZnhtVJB,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 
891689557279858688,2017-07-30 15:58:51+00:00,Darla,,13.0,1,42908,8964,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Twitter for iPhone,https://t.co/tD36da7qLQ,Paper towel,0.1702779999999999,False,Labrador retriever,0.1680859999999999,True,Spatula,0.0408359,False,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us 
891327558926688256,2017-07-29 16:00:24+00:00,Franklin,,12.0,2,41048,9774,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Twitter for iPhone,https://t.co/AtUZn91f7f,Basset,0.555712,True,English springer,0.2257699999999999,True,German short-haired pointer,0.175219,True,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek "
891087950875897856,2017-07-29 00:08:17+00:00,,,13.0,1,20562,3261,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Twitter for iPhone,https://t.co/kQ04fDDRmh,Chesapeake bay retriever,0.425595,True,Irish terrier,0.116317,True,Indian elephant,0.0769021999999999,False,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek 
890971913173991426,2017-07-28 16:27:12+00:00,Jax,,13.0,1,12041,2158,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Twitter for iPhone,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,Appenzeller,0.341703,True,Border collie,0.199287,True,Ice lolly,0.193548,False,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

"
890729181411237888,2017-07-28 00:22:40+00:00,,,13.0,2,56848,16716,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Twitter for iPhone,https://t.co/v0nONBcwxq,Pomeranian,0.566142,True,Eskimo dog,0.1784059999999999,True,Pembroke,0.0765069,True,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 
890609185150312448,2017-07-27 16:25:51+00:00,Zoey,,13.0,1,28226,4429,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Twitter for iPhone,https://t.co/9TwLuAGH0b,Irish terrier,0.4875739999999999,True,Irish setter,0.193054,True,Chesapeake bay retriever,0.118184,True,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek 
890240255349198849,2017-07-26 15:59:51+00:00,Cassie,doggo,14.0,1,32467,7711,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Twitter for iPhone,https://t.co/t1bfwz5S2A,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate 
890006608113172480,2017-07-26 00:31:25+00:00,Koda,,13.0,1,31166,7624,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Twitter for iPhone,https://t.co/dVPW0B0Mme,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek 
889880896479866881,2017-07-25 16:11:53+00:00,Bruno,,13.0,1,28268,5156,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,Twitter for iPhone,https://t.co/u1XPQMl29g,French bulldog,0.377417,True,Labrador retriever,0.151317,True,Muzzle,0.0829811,False,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy 
889665388333682689,2017-07-25 01:55:32+00:00,,puppo,13.0,1,38818,8538,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Twitter for iPhone,https://t.co/BxvuXk0UCm,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 
889638837579907072,2017-07-25 00:10:02+00:00,Ted,,12.0,1,27672,4735,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,Twitter for iPhone,https://t.co/f8dEDcrKSR,French bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire bullterrier,0.00149818,True,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist 
889531135344209921,2017-07-24 17:02:04+00:00,Stuart,puppo,13.0,1,15359,2321,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Twitter for iPhone,https://t.co/y70o6h3isq,Golden retriever,0.953442,True,Labrador retriever,0.0138341,True,Redbone,0.00795775,True,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek 
889278841981685760,2017-07-24 00:19:32+00:00,Oliver,,13.0,1,25652,5637,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Twitter for iPhone,https://t.co/WpHvrQedPb,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek 
888917238123831296,2017-07-23 00:22:39+00:00,Jim,,12.0,1,29611,4709,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Twitter for iPhone,https://t.co/chxruIOUJN,Golden retriever,0.714719,True,Tibetan mastiff,0.1201839999999999,True,Labrador retriever,0.1055059999999999,True,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both 
888804989199671297,2017-07-22 16:56:37+00:00,Zeke,,13.0,1,26080,4559,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Twitter for iPhone,https://t.co/HTQ77yNQ5K,Golden retriever,0.46976,True,Labrador retriever,0.184172,True,English setter,0.0734817,True,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best 
888554962724278272,2017-07-22 00:23:06+00:00,Ralphus,,13.0,3,20290,3732,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Twitter for iPhone,https://t.co/YnYAFCTTiK,Siberian husky,0.700377,True,Eskimo dog,0.166511,True,Malamute,0.111411,True,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af 
888078434458587136,2017-07-20 16:49:33+00:00,Gerald,,12.0,1,22201,3653,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,Twitter for iPhone,https://t.co/DK7iDPfuRX,French bulldog,0.995026,True,Pug,0.000931908,True,Bull mastiff,0.000903211,True,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway 
887705289381826560,2017-07-19 16:06:48+00:00,Jeffrey,,13.0,1,30779,5609,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,Twitter for iPhone,https://t.co/PhrUk20Q64,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.0262364,True,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic 
887473957103951883,2017-07-19 00:47:34+00:00,Canela,,13.0,2,69871,18781,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Twitter for iPhone,https://t.co/cLyzpcUcMX,Pembroke,0.809197,True,Rhodesian ridgeback,0.05495,True,Beagle,0.0389148,True,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her 
887343217045368832,2017-07-18 16:08:03+00:00,,,13.0,1,34222,10737,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Twitter for iPhone,https://t.co/WZqNqygEyV,Mexican hairless,0.330741,True,Sea lion,0.275645,False,Weimaraner,0.134203,True,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) 
887101392804085760,2017-07-18 00:07:08+00:00,,,12.0,1,31061,6167,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Twitter for iPhone,https://t.co/4Ad1jzJSdp,Samoyed,0.733942,True,Eskimo dog,0.0350295,True,Staffordshire bullterrier,0.0297047,True,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof 
886983233522544640,2017-07-17 16:17:36+00:00,Maya,,13.0,2,35859,8084,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Twitter for iPhone,https://t.co/I6oNy0CgiT,Chihuahua,0.793469,True,Toy terrier,0.143528,True,Can opener,0.0322529,False,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in 
886736880519319552,2017-07-16 23:58:41+00:00,Mingus,,13.0,1,12306,3443,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,Twitter for iPhone,https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b,Kuvasz,0.309706,True,Great pyrenees,0.186136,True,Dandie dinmont,0.0863463,True,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

"
886366144734445568,2017-07-15 23:25:31+00:00,Roscoe,pupper,12.0,1,21524,3316,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,Twitter for iPhone,https://t.co/RGE08MIJox,French bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston bull,7.55616e-05,True,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe 
886258384151887873,2017-07-15 16:17:19+00:00,Waffles,,13.0,1,28469,6523,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,Twitter for iPhone,https://t.co/xZDA9Qsq1O,Pug,0.943575,True,Shower cap,0.0252856,False,Siamese cat,0.00284892,False,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles 
885984800019947520,2017-07-14 22:10:11+00:00,Jimbo,,12.0,1,33382,7097,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Twitter for iPhone,https://t.co/BuveP0uMF1,Blenheim spaniel,0.972494,True,Shih-tzu,0.00663012,True,Bernese mountain dog,0.00623915,True,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution 
885528943205470208,2017-07-13 15:58:47+00:00,Maisey,,13.0,1,36689,6683,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,Twitter for iPhone,https://t.co/tp1kQ8i9JF,Pug,0.369275,True,Labrador retriever,0.265835,True,Kuvasz,0.134697,True,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly 
885167619883638784,2017-07-12 16:03:00+00:00,,,13.0,4,22367,4556,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,Twitter for iPhone,https://t.co/44ItaMubBf,Malamute,0.8124819999999999,True,Siberian husky,0.0717125,True,Eskimo dog,0.0557697,True,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 
884925521741709313,2017-07-12 00:01:00+00:00,Earl,,12.0,1,68152,16439,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,Twitter for iPhone,https://t.co/MYJvdlNRVa,Italian greyhound,0.259916,True,American staffordshire terrier,0.198451,True,Staffordshire bullterrier,0.127725,True,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl "
